step,phi,danger,depth,current_norm,chemical,pe
398,0.121741,0.5096,9.9965,0.5392,0.8000,0.0000
399,0.120610,0.5112,9.9965,0.5424,0.8000,0.0000
400,0.119472,0.5128,9.9965,0.5456,0.8000,0.0000
401,0.118323,0.5143,9.9965,0.5486,0.8000,0.0000
402,0.117155,0.5158,9.9964,0.5516,0.8000,0.0000
403,0.115959,0.5172,9.9964,0.5545,0.8000,0.0000
404,0.114724,0.5187,9.9964,0.5573,0.8000,0.0000
405,0.113434,0.5200,9.9964,0.5600,0.8000,0.0000
406,0.112069,0.5214,9.9964,0.5627,0.8000,0.0000
407,0.110606,0.5226,9.9964,0.5653,0.8000,0.0000
408,0.109015,0.5239,9.9963,0.5677,0.8000,0.0000
409,0.107259,0.5251,9.9963,0.5701,0.8000,0.0000
410,0.105296,0.5262,9.9963,0.5724,0.8000,0.0000
411,0.103072,0.5273,9.9963,0.5747,0.8000,0.0000
412,0.100530,0.5284,9.9963,0.5768,0.8000,0.0000
413,0.100524,0.5294,9.9963,0.5788,0.8000,0.0000
414,0.100519,0.5304,9.9962,0.5808,0.8000,0.0000
415,0.100514,0.5313,9.9962,0.5826,0.8000,0.0000
416,0.100509,0.5322,9.9962,0.5844,0.8000,0.0000
417,0.100505,0.5330,9.9962,0.5861,0.8000,0.0000
418,0.100502,0.5338,9.9962,0.5876,0.8000,0.0000
419,0.100498,0.5346,9.9962,0.5891,0.8000,0.0000
420,0.100495,0.5353,9.9961,0.5905,0.8000,0.0000
421,0.100492,0.5359,9.9961,0.5918,0.8000,0.0000
422,0.100490,0.5365,9.9961,0.5930,0.8000,0.0000
423,0.100487,0.5371,9.9961,0.5941,0.8000,0.0000
424,0.100485,0.5376,9.9961,0.5952,0.8000,0.0000
425,0.100482,0.5380,9.9961,0.5961,0.8000,0.0000
426,0.100480,0.5384,9.9960,0.5969,0.8000,0.0000
427,0.100478,0.5388,9.9960,0.5976,0.8000,0.0000
428,0.100475,0.5391,9.9960,0.5983,0.8000,0.0000
429,0.100473,0.5394,9.9960,0.5988,0.8000,0.0000
430,0.100471,0.5396,9.9960,0.5992,0.8000,0.0000
431,0.103658,0.3298,9.9960,0.5996,0.1000,0.0000
432,0.104236,0.3299,9.9959,0.5998,0.1000,0.0000
